Country,Year,Coverage,Rank,Is_Australia
Luxembourg,2025.0,99.0,2,False
Malta,2025.0,99.0,3,False
Monaco,2025.0,99.0,4,False
Hungary,2025.0,99.0,5,False
Portugal,2025.0,99.0,6,False
Cyprus,2025.0,98.0,7,False
Andorra,2025.0,98.0,8,False
Belgium,2025.0,98.0,9,False
Israel,2025.0,98.0,10,False
Australia,2025.0,92.0,24,True
